NO,All,Red,Green,RatioR,RatioG,Result
B51.jpg,160000,10427.5,0,0.065171875,0,B
B24.jpg,160000,10527,0,0.06579375,0,B
B9.jpg,160000,11564.5,14719.5,0.072278125,0.091996875,B
B98.jpg,160000,12653,56914,0.07908125,0.3557125,B
B37.jpg,160000,13870,0,0.0866875,0,B
B3.jpg,160000,13991.5,37398.5,0.087446875,0.233740625,B
B29.jpg,160000,14569.5,0,0.091059375,0,B
B4.jpg,160000,15260.5,13051,0.095378125,0.08156875,B
B26.jpg,160000,15455.5,0,0.096596875,0,B
B44.jpg,160000,15894,21435.5,0.0993375,0.133971875,B
B87.jpg,160000,16822,0,0.1051375,0,B
B56.jpg,160000,17106.5,0,0.106915625,0,B
B58.jpg,160000,17270.5,0,0.107940625,0,B
B69.jpg,160000,18156,0,0.113475,0,B
B16.jpg,160000,18203,0,0.11376875,0,B
B42.jpg,160000,18480.5,0,0.115503125,0,B
B8.jpg,160000,18595,59094,0.11621875,0.3693375,B
B32.jpg,160000,18616.5,0,0.116353125,0,B
B81.jpg,160000,19272.5,0,0.120453125,0,B
B94.jpg,160000,19419.5,0,0.121371875,0,B
B115.jpg,160000,19506.5,0,0.121915625,0,B
B54.jpg,160000,20110.5,0,0.125690625,0,B
B74.jpg,160000,20331.5,0,0.127071875,0,B
B109.jpg,160000,20783.5,0,0.129896875,0,B
B79.jpg,160000,20914,0,0.1307125,0,B
B25.jpg,160000,20957,0,0.13098125,0,B
B88.jpg,160000,21007,0,0.13129375,0,B
B21.jpg,160000,21182,0,0.1323875,0,B
B7.jpg,160000,21301,0,0.13313125,0,B
B53.jpg,160000,21550.5,0,0.134690625,0,B
B20.jpg,160000,21695.5,11435.5,0.135596875,0.071471875,B
B52.jpg,160000,21768,0,0.13605,0,B
B63.jpg,160000,21778.5,0,0.136115625,0,B
B105.jpg,160000,22050,7327,0.1378125,0.04579375,B
B36.jpg,160000,22509,0,0.14068125,0,B
B18.jpg,160000,22925.5,10694,0.143284375,0.0668375,B
B59.jpg,160000,23456,0,0.1466,0,B
B50.jpg,160000,23466,0,0.1466625,0,B
B6.jpg,160000,23627,14667,0.14766875,0.09166875,B
B64.jpg,160000,23711,0,0.14819375,0,B
B27.jpg,160000,23809.5,0,0.148809375,0,B
B113.jpg,160000,23878.5,0,0.149240625,0,B
B38.jpg,160000,24150,0,0.1509375,0,B
B55.jpg,160000,24536,0,0.15335,0,B
B70.jpg,160000,24593.5,0,0.153709375,0,B
B1.jpg,160000,24731,35434.5,0.15456875,0.221465625,B
B73.jpg,160000,24754,15608.5,0.1547125,0.097553125,B
B76.jpg,160000,24868,0,0.155425,0,B
B101.jpg,160000,25001,0,0.15625625,0,B
B67.jpg,160000,25170.5,0,0.157315625,0,B
B40.jpg,160000,25178.5,15734,0.157365625,0.0983375,B
B114.jpg,160000,25596.5,0,0.159978125,0,B
B75.jpg,160000,25776,0,0.1611,0,B
B110.jpg,160000,26166.5,0,0.163540625,0,B
B39.jpg,160000,26724,7641.5,0.167025,0.047759375,B
B11.jpg,160000,27345,95409.5,0.17090625,0.596309375,B
B65.jpg,160000,27697,0,0.17310625,0,B
B104.jpg,160000,27802.5,0,0.173765625,0,B
B22.jpg,160000,27917,0,0.17448125,0,B
B23.jpg,160000,28466.5,15724,0.177915625,0.098275,B
B49.jpg,160000,28496,0,0.1781,0,B
B72.jpg,160000,28509.5,0,0.178184375,0,B
B31.jpg,160000,28593.5,0,0.178709375,0,B
B13.jpg,160000,29181.5,0,0.182384375,0,B
B5.jpg,160000,29870,27042,0.1866875,0.1690125,B
B33.jpg,160000,30171.5,9665,0.188571875,0.06040625,B
B111.jpg,160000,30252,0,0.189075,0,B
B43.jpg,160000,30252,12498,0.189075,0.0781125,B
B71.jpg,160000,30617,0,0.19135625,0,B
B78.jpg,160000,31219.5,0,0.195121875,0,B
B2.jpg,160000,31366,0,0.1960375,0,B
B83.jpg,160000,31635.5,0,0.197721875,0,B
B15.jpg,160000,32806,0,0.2050375,0,B
B35.jpg,160000,33169,0,0.20730625,0,B
B62.jpg,160000,33228.5,0,0.207678125,0,B
B112.jpg,160000,33470.5,49539,0.209190625,0.30961875,B
B89.jpg,160000,33717,12793,0.21073125,0.07995625,B
B34.jpg,160000,34039,20088,0.21274375,0.12555,B
B84.jpg,160000,34313,0,0.21445625,0,B
B77.jpg,160000,34518,0,0.2157375,0,B
B17.jpg,160000,35026.5,0,0.218915625,0,B
B85.jpg,160000,35129,0,0.21955625,0,B
B93.jpg,160000,35285,0,0.22053125,0,B
B10.jpg,160000,36147.5,0,0.225921875,0,B
B103.jpg,160000,36706,0,0.2294125,0,B
B12.jpg,160000,36962.5,0,0.231015625,0,B
B47.jpg,160000,37119.5,0,0.231996875,0,B
B19.jpg,160000,37789,0,0.23618125,0,B
B57.jpg,160000,38150.5,0,0.238440625,0,B
B28.jpg,160000,39676,0,0.247975,0,B
B86.jpg,160000,40618.5,0,0.253865625,0,B
B82.jpg,160000,41086,0,0.2567875,0,B
B30.jpg,160000,42451,0,0.26531875,0,B
B45.jpg,160000,42522.5,0,0.265765625,0,B
B90.jpg,160000,42650,15808.5,0.2665625,0.098803125,B
B95.jpg,160000,43411.5,6758,0.271321875,0.0422375,B
B102.jpg,160000,43625,0,0.27265625,0,B
B61.jpg,160000,43963.5,0,0.274771875,0,B
B80.jpg,160000,44555.5,0,0.278471875,0,B
B60.jpg,160000,45527.5,0,0.284546875,0,B
B99.jpg,160000,53638,0,0.3352375,0,B
